Date,Inflation rate,Exchange rate,Interest rate,Immigration,GDP,House price index,Close,Unemployment
2000-01-02,0.08,0.62,6.0,8.4,5.02,44.38,6444.89990234375,5.79
2000-01-09,0.0715384615384615,0.622307692307692,6.0,8.41132075471698,4.86307692307692,44.38,6484.39990234375,5.76769230769231
2000-01-16,0.0630769230769231,0.624615384615385,6.0,8.42264150943396,4.70615384615385,44.38,6554.60009765625,5.74538461538462
2000-01-23,0.0546153846153846,0.626923076923077,6.0,8.43396226415094,4.549230769230769,44.38,6362.5,5.72307692307692
2000-01-30,0.0461538461538462,0.629230769230769,6.0,8.44528301886792,4.39230769230769,44.38,6271.5,5.70076923076923
2000-02-06,0.0376923076923077,0.631538461538462,6.0,8.45660377358491,4.23538461538462,44.38,6148.0,5.67846153846154
2000-02-13,0.0292307692307692,0.633846153846154,6.0,8.46792452830189,4.07846153846154,44.38,6147.39990234375,5.65615384615385
2000-02-20,0.0207692307692308,0.636153846153846,6.0,8.47924528301887,3.92153846153846,44.38,6298.39990234375,5.63384615384615
2000-02-27,0.0123076923076923,0.638461538461539,6.0,8.49056603773585,3.76461538461538,44.38,6442.7001953125,5.61153846153846
2000-03-05,0.0038461538461538,0.640769230769231,6.0,8.50188679245283,3.6076923076923104,44.38,6776.60009765625,5.5892307692307694
2000-03-12,-0.0046153846153846,0.643076923076923,6.0,8.51320754716981,3.45076923076923,44.985,6824.39990234375,5.56692307692308
2000-03-19,-0.0130769230769231,0.645384615384615,6.0,8.52452830188679,3.29384615384615,45.59,6565.7998046875,5.54461538461538
2000-03-26,-0.0215384615384615,0.647692307692308,6.0,8.53584905660377,3.13692307692308,46.195,6564.2001953125,5.52230769230769
2000-04-02,-0.03,0.65,6.0,8.54716981132076,2.98,46.8,6475.10009765625,5.5
2000-04-09,-0.03,0.652307692307692,6.0,8.55849056603774,2.95076923076923,46.8,6461.10009765625,5.48615384615385
2000-04-16,-0.03,0.654615384615385,6.0,8.56981132075472,2.92153846153846,46.8,6222.10009765625,5.47230769230769
2000-04-23,-0.03,0.656923076923077,6.0,8.5811320754717,2.89230769230769,46.8,6117.89990234375,5.45846153846154
2000-04-30,-0.03,0.659230769230769,6.0,8.59245283018868,2.86307692307692,46.8,6194.60009765625,5.44461538461539
2000-05-07,-0.03,0.661538461538462,6.0,8.60377358490566,2.83384615384615,46.8,6279.0,5.43076923076923
2000-05-14,-0.03,0.663846153846154,6.0,8.61509433962264,2.80461538461538,46.8,6271.2998046875,5.41692307692308
2000-05-21,-0.03,0.666153846153846,6.0,8.62641509433962,2.77538461538462,46.8,6183.7001953125,5.40307692307692
2000-05-28,-0.03,0.668461538461539,6.0,8.6377358490566,2.74615384615385,46.8,6137.7001953125,5.38923076923077
2000-06-04,-0.03,0.670769230769231,6.0,8.64905660377359,2.71692307692308,46.8,6423.10009765625,5.37538461538462
2000-06-11,-0.03,0.673076923076923,6.0,8.66037735849057,2.68769230769231,47.02,6495.39990234375,5.36153846153846
2000-06-18,-0.03,0.675384615384616,6.0,8.67169811320755,2.65846153846154,47.24,6533.5,5.34769230769231
2000-06-25,-0.03,0.677692307692308,6.0,8.68301886792453,2.62923076923077,47.46,6563.2001953125,5.33384615384615
2000-07-02,-0.03,0.68,6.0,8.69433962264151,2.6,47.68,6601.0,5.32
2000-07-09,-0.0061538461538461,0.680769230769231,6.0,8.70566037735849,2.6,47.68,6626.60009765625,5.31307692307692
2000-07-16,0.0176923076923077,0.681538461538462,6.0,8.71698113207547,2.6,47.68,6741.7998046875,5.30615384615385
2000-07-23,0.0415384615384616,0.682307692307692,6.0,8.72830188679245,2.6,47.68,6808.5,5.29923076923077
2000-07-30,0.0653846153846154,0.683076923076923,6.0,8.73962264150944,2.6,47.68,6746.10009765625,5.29230769230769
2000-08-06,0.0892307692307693,0.683846153846154,6.0,8.75094339622642,2.6,47.68,6715.2001953125,5.28538461538462
2000-08-13,0.113076923076923,0.684615384615385,6.0,8.7622641509434,2.6,47.68,6842.2001953125,5.27846153846154
2000-08-20,0.136923076923077,0.685384615384615,6.0,8.77358490566038,2.6,47.68,6913.2001953125,5.27153846153846
2000-08-27,0.160769230769231,0.686153846153846,6.0,8.78490566037736,2.6,47.68,6922.7001953125,5.26461538461539
2000-09-03,0.184615384615385,0.686923076923077,6.0,8.79622641509434,2.6,47.68,7108.89990234375,5.25769230769231
2000-09-10,0.208461538461539,0.687692307692308,6.0,8.80754716981132,2.6,48.035,6988.5,5.25076923076923
2000-09-17,0.232307692307692,0.688461538461539,6.0,8.8188679245283,2.6,48.39,6955.2001953125,5.24384615384615
2000-09-24,0.256153846153846,0.689230769230769,6.0,8.83018867924528,2.6,48.745,6645.10009765625,5.23692307692308
2000-10-01,0.28,0.69,6.0,8.84150943396226,2.6,49.1,6676.89990234375,5.23
2000-10-08,0.292857142857143,0.69,5.98214285714286,8.85283018867925,2.67214285714286,49.1,6669.39990234375,5.22
