Date,Inflation rate,Exchange rate,Immigration,House price index,GDP,Interest rate,Close,Unemployment
2005-09-11,1.77923076923077,0.835384615384615,18.77692307692308,108.8,11.2361538461538,1.19230769230769,6808.91015625,4.55923076923077
2005-09-18,1.78615384615385,0.836923076923077,18.784615384615385,109.4,12.8707692307692,1.21153846153846,6671.64990234375,4.54615384615385
2005-09-25,1.79307692307692,0.838461538461539,18.79230769230769,110.0,14.5053846153846,1.23076923076923,6658.990234375,4.53307692307692
2005-10-02,1.8,0.84,18.8,110.6,16.14,1.25,6839.08984375,4.52
2005-10-09,1.82307692307692,0.839230769230769,18.807692307692307,110.78,15.2346153846154,1.26923076923077,6823.2900390625,4.53307692307692
2005-10-16,1.84615384615385,0.838461538461539,18.815384615384616,110.96,14.3292307692308,1.28846153846154,6643.2998046875,4.54615384615385
2005-10-23,1.86923076923077,0.837692307692308,18.82307692307692,111.14,13.4238461538462,1.30769230769231,6388.22998046875,4.55923076923077
2005-10-30,1.89230769230769,0.836923076923077,18.830769230769228,111.32,12.5184615384615,1.32692307692308,6464.759765625,4.57230769230769
2005-11-06,1.91538461538462,0.836153846153846,18.838461538461537,111.5,11.6130769230769,1.34615384615385,6670.93017578125,4.58538461538462
2005-11-13,1.93846153846154,0.835384615384615,18.846153846153847,111.775,10.7076923076923,1.36538461538462,6785.83984375,4.59846153846154
2005-11-20,1.96153846153846,0.834615384615385,18.853846153846156,112.05,9.80230769230769,1.38461538461538,6806.60009765625,4.61153846153846
2005-11-27,1.98461538461538,0.833846153846154,18.86153846153846,112.325,8.89692307692308,1.40384615384615,6891.8798828125,4.62461538461538
2005-12-04,2.00769230769231,0.833076923076923,18.869230769230768,112.6,7.99153846153846,1.42307692307692,7002.080078125,4.63769230769231
2005-12-11,2.03076923076923,0.832307692307692,18.87692307692308,112.75,7.08615384615385,1.44230769230769,7150.7099609375,4.65076923076923
2005-12-18,2.05384615384615,0.831538461538461,18.884615384615383,112.9,6.18076923076923,1.46153846153846,7254.89013671875,4.66384615384615
2005-12-25,2.07692307692308,0.830769230769231,18.89230769230769,113.05,5.27538461538462,1.48076923076923,7280.7900390625,4.67692307692308
2006-01-01,2.1,0.83,18.9,113.2,4.37,1.5,7363.9599609375,4.69
2006-01-08,2.10692307692308,0.827692307692308,19.12264150943396,113.26,4.25769230769231,1.51923076923077,7486.22021484375,4.69384615384615
2006-01-15,2.11384615384615,0.825384615384615,19.345283018867924,113.32,4.14538461538462,1.53846153846154,7526.1298828125,4.69769230769231
2006-01-22,2.12076923076923,0.823076923076923,19.567924528301887,113.38,4.03307692307692,1.55769230769231,7424.77978515625,4.70153846153846
2006-01-29,2.12769230769231,0.820769230769231,19.790566037735847,113.44,3.92076923076923,1.57692307692308,7586.5400390625,4.70538461538462
2006-02-05,2.13461538461538,0.818461538461539,20.01320754716981,113.5,3.80846153846154,1.59615384615385,7654.02001953125,4.7092307692307696
2006-02-12,2.14153846153846,0.816153846153846,20.23584905660377,113.65,3.6961538461538495,1.61538461538462,7596.31005859375,4.71307692307692
2006-02-19,2.14846153846154,0.813846153846154,20.45849056603773,113.8,3.58384615384615,1.63461538461538,7757.89990234375,4.71692307692308
2006-02-26,2.15538461538462,0.811538461538462,20.681132075471695,113.95,3.47153846153846,1.65384615384615,7943.669921875,4.72076923076923
